"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"100009600"	152.84699977398	0.00376124714404203	0.0581665364135847	0.793955558905407	NA
"100009609"	38.0066075584381	0.00743502681307951	0.0596990701656565	0.394700152058748	NA
"100017"	3882.48739331096	-0.0345531705995999	0.0537050235560545	0.2879373226845	0.666649837909987
"100019"	9010.53832723663	0.17746625649535	0.173332297326557	0.0112332659123123	0.180664660067979
"100033459"	932.524170062619	-0.00869914415783782	0.0599826746921313	0.298840510496003	0.676904068552032
"100034251"	2566.96172799039	-0.0824043943373652	0.168460047351892	0.0103264606973631	0.174119367965028
"100034361"	6203.87689131633	-0.0125646164385821	0.0442846450990958	0.777958177194689	0.928327504292318
"100034363"	6.87446301544819	0.00039086557192249	0.0596298474138542	0.836111498846383	NA
"100034684"	460.979054522449	-0.00191402996153557	0.0595994085348954	0.618614901554952	0.863625587849136
"100034726"	473.950031084628	0.0106414857351799	0.0573227196798004	0.581607760362195	0.848027464254815
"100034748"	15.1464520315847	0.00594098905508194	0.0598586021224462	0.25838379528413	NA
"100036521"	1307.79629711617	-0.00972420213551837	0.0483340965302661	0.709727783845729	0.905954936463957
"100037258"	10676.1976482109	0.0749585577452415	0.0781767300082561	0.0575924670205429	0.361293063803664
"100037278"	444.934955783687	0.0249527666218943	0.063075092899128	0.213997735840929	0.597363448756052
"100037282"	4500.71347583372	-0.0238581070349224	0.054114598389405	0.444859252808233	0.779733174123097
"100037283"	290.632616692833	-0.0324008762264053	0.0674671165160907	0.134798032608971	0.499274611527354
"100038347"	93.1606079574763	0.00755112297691036	0.0589465445065812	0.551703367649987	NA
"100038371"	11.0928523742231	0.000117485147059641	0.0594438715594564	0.989184743638365	NA
"100038417"	3.81939046503462	0.00287142779982292	0.059677061667669	0.377158036311716	NA
"100038489"	1.50157003098424	-0.00221160361483003	0.0597060277540797	0.200700769041467	NA
"100038538"	76.6623802596165	0.0235385483583825	0.0648460524817916	0.092080491320228	NA
"100038570"	70.6239984593961	0.00301170006316432	0.0583438670330403	0.820219703675595	NA
"100038628"	12.3213892897985	0.000740668720910255	0.0594701935909387	0.875629285740753	NA
"100038657"	0.569496488839344	0.000482112085195375	0.0596554609884948	0.713777675191073	NA
"100038725"	1078.86511542118	0.0505824243396631	0.0735683481861856	0.111221955837291	0.465120388799523
"100038847"	3.02371185670459	-0.000581186981223217	0.0596091855600995	0.846056516470791	NA
"100038854"	2.67178834525406	-6.72720011254484e-05	0.0596057688070359	0.982698633095886	NA
"100038862"	16.5427437005312	0.00147520426068891	0.0593797769503767	0.912231740604048	NA
"100038909"	125.360968009931	0.0247446014357767	0.0659366270712863	0.0562077622600814	NA
"100038912"	4.12702321979714	-0.00198429487567243	0.0596304603390843	0.505829514550006	NA
"100038941"	6.97084164143545	0.0041908623150422	0.0597148035087137	0.344219189115927	NA
"100038947"	1348.51763719078	0.0135932640736122	0.0593554173092846	0.170100327383647	0.54708357991978
"100038948"	0.663779481743676	-5.60524809756248e-05	0.0596550416108364	0.896027433038309	NA
"100038949"	1.00763996455959	-0.000281181382553751	0.0596599096377353	0.96487043624874	NA
"100039008"	15.4793192474953	-0.000849997904298966	0.0596472266736779	0.652645033792946	NA
"100039027"	152.99867129563	0.00578455592801001	0.0586491242937538	0.667801800778143	NA
"100039028"	70.0519626335651	-0.00192192101791012	0.059618244460052	0.570615312919621	NA
"100039030"	0.628270335752551	-0.000998168909762785	0.0596691539407342	0.440950166420807	NA
"100039060"	1335.13622876324	-0.0590492221998592	0.102654419843544	0.0212554782490023	0.245010031147848
"100039062"	3.63425980260054	0.000202863857407148	0.0595419021674535	0.931430788787444	NA
"100039065"	0.857085256726065	-0.000731028266026176	0.0596611492494544	0.827809811324695	NA
"100039087"	1.49103286808954	0.000428553294757939	0.059634149552091	0.824474346495886	NA
"100039116"	1.00612440361343	-0.000244648523233417	0.0596552594940764	0.741971915743343	NA
"100039123"	954.830648970708	-0.00554086475622788	0.0536895027562875	0.812665175211931	0.942012869178752
"100039139"	170.911201322546	-0.00928360343804305	0.0588565663499906	0.51294263166918	0.81508115723554
"100039150"	3.6195337560073	0.000719792943565958	0.0596293247488387	0.663702192562079	NA
"100039192"	1180.52922105936	0.00943469883795634	0.0567034729620898	0.658615555077148	0.883679938538882
"100039206"	2.41746261662936	-0.00176701414880996	0.0596706416223309	0.375092066715136	NA
"100039213"	0.918590289700109	0.000202648698536787	0.059648789921143	0.81400089967598	NA
"100039239"	4593.28906628818	-0.0195404545032292	0.0599020686667885	0.283258789362813	0.663567383965916
"100039240"	6.415538907108	0.00244417924923433	0.0595428481025391	0.603958334066652	NA
"100039246"	444.106305252084	-0.0325107662438533	0.0687537145561996	0.106780453969888	0.458483644604441
"100039257"	885.839568521347	0.00104216279245778	0.0573309586200602	0.961837361354396	0.987065882307954
"100039467"	16.0335293211026	-0.00241391191987781	0.059688268709573	0.324846376166395	NA
"100039550"	6.95447147966664	0.000642254689205372	0.059665889831941	0.142786262549268	NA
"100039596"	263.89800860104	0.00491418976541332	0.0582848972354967	0.718692605993988	0.909438340569261
"100039672"	0.495874313777683	0.000345788068226307	0.0596589560905522	0.749168514134214	NA
"100039706"	69.9335685288969	-0.00113765248801604	0.059425569404931	0.764916922769314	NA
"100039707"	1031.26796368018	-0.0118722255285626	0.0526733069322907	0.644102684587229	0.874484877685919
"100039781"	53.1081066039405	0.00983675081953075	0.0600439119098706	0.317818614615448	NA
"100039795"	178.907442062325	-0.00327955903529534	0.0590558672228978	0.720711800973073	0.910172662371023
"100039796"	5535.98921208492	0.0202330738506751	0.0591240677015508	0.267428560421814	0.649561366001725
"100039801"	0.494340626024197	-0.000298515164859306	0.0596565653933868	0.837299389303351	NA
"100039890"	142.459794261908	0.00751948025845106	0.0592137216797396	0.502076027973924	NA
"100039934"	43.159866097306	-0.00164879263139439	0.0593430241525756	0.803545869129628	NA
"100039968"	391.445734838086	0.00423264098112235	0.0560642186798748	0.843268481494209	0.951642552814317
"100040049"	20.2415488665112	-0.00374247434370236	0.0593836675805958	0.606994437541946	NA
"100040201"	8.3065412998186	0.00087123423843918	0.0596682123803023	NA	NA
