"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"100009600"	152.84699977398	0.00507115000921989	0.0628235858751421	0.724441478025171	0.907827060447714
"100009609"	38.0066075584381	0.00707214295743893	0.0644566011264437	0.503111072282569	NA
"100017"	3882.48739331096	-0.121571950879769	0.0804563027539297	0.0151967388878029	0.175393980599232
"100019"	9010.53832723663	0.118220042973903	0.151260301083432	0.0255082229811875	0.220467488137729
"100033459"	932.524170062619	0.0104692316149914	0.065204569415744	0.259950636215024	0.629681411477948
"100034251"	2566.96172799039	0.0123762234896922	0.062205889635223	0.564454573354738	0.840567833056158
"100034361"	6203.87689131633	0.00383701375607432	0.0452206288158333	0.898202256795276	0.970473926289024
"100034363"	6.87446301544819	0.00150536069751691	0.0647336159221198	0.514574436585583	NA
"100034684"	460.979054522449	-0.00206055931112827	0.0646587809803067	0.621279049587043	0.865718847901618
"100034726"	473.950031084628	0.00752955864040605	0.0607238222802869	0.716689506609287	0.904049283051295
"100034748"	15.1464520315847	0.0080999000563278	0.0651716994621224	0.185679037250465	NA
"100036521"	1307.79629711617	0.0326401699088562	0.0549224965906935	0.360587122594884	0.71949305992876
"100037258"	10676.1976482109	0.16064379442369	0.0927026157014668	0.00713266256640373	0.119935404649529
"100037278"	444.934955783687	0.0864503063225597	0.153244042501444	0.0166731081635065	0.18402631385839
"100037282"	4500.71347583372	-0.0520176625445308	0.0685077042510952	0.156798097920288	0.502473518142139
"100037283"	290.632616692833	-0.0190598162159101	0.0632395936217205	0.411480642861236	0.758948100770197
"100038347"	93.1606079574763	0.0169185922556637	0.0659644643769928	0.275135471939355	0.643097657896303
"100038371"	11.0928523742231	0.00089795608348666	0.0644712808784066	0.897529867695093	NA
"100038417"	3.81939046503462	0.00536238716584003	0.064963772815548	0.173234049073578	NA
"100038489"	1.50157003098424	0.000841599743961798	0.0647122623811343	0.739280247780526	NA
"100038538"	76.6623802596165	0.0404073568493494	0.0815112924042717	0.028315326553093	0.232690127831943
"100038570"	70.6239984593961	-0.000432281472901511	0.0627939381907832	0.983733273265452	NA
"100038628"	12.3213892897985	0.000396610452448855	0.064483323146799	0.969935893707308	NA
"100038657"	0.569496488839344	0.000106014399047932	0.0647369800220808	0.911158497775794	NA
"100038725"	1078.86511542118	0.0153378021065797	0.0568273115509269	0.519068267393448	0.820734674088163
"100038847"	3.02371185670459	-0.0016545045526589	0.0647059775267503	0.594964076318731	NA
"100038854"	2.67178834525406	-0.00505175241356185	0.065006767676041	0.0205277260966776	NA
"100038862"	16.5427437005312	-0.00331202656743995	0.0644641642133296	0.657336816449782	NA
"100038909"	125.360968009931	1.00139883837871	0.297475432966856	2.74054128795633e-05	0.00542668078616666
"100038912"	4.12702321979714	-0.00187865896571241	0.0646718720289462	0.597772052093818	NA
"100038941"	6.97084164143545	0.00362871029881162	0.0646689486786064	0.50299433384286	NA
"100038947"	1348.51763719078	0.0153813784332287	0.0640948794507573	0.424179397674122	0.766257580464922
"100038948"	0.663779481743676	-6.58853782243019e-05	0.0647393329246341	0.97340549677613	NA
"100038949"	1.00763996455959	-0.000437366994200168	0.064746949014696	0.85612642348377	NA
"100039008"	15.4793192474953	-0.000775290308554541	0.0647241168119772	0.72852679334654	NA
"100039027"	152.99867129563	0.00726129912287872	0.0634686825312487	0.615716697393687	0.864499775641652
"100039028"	70.0519626335651	0.000575221901058069	0.0646318848901738	0.892257148844913	NA
"100039030"	0.628270335752551	0.000333849293826668	0.0647322797004438	0.86861571983178	NA
"100039060"	1335.13622876324	-0.00724934052562129	0.0613948770563637	0.732173089626027	0.911800206462548
