"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"100009600"	152.84699977398	0.000219366281674579	0.0106175656247883	0.627937476642849	0.999484114942129
"100009609"	38.0066075584381	-0.000106195621018862	0.0106213169414225	0.833107421912417	0.999484114942129
"100017"	3882.48739331096	0.000289547625455835	0.0105249066697628	0.80387404437523	0.999484114942129
"100019"	9010.53832723663	0.00085549744252347	0.0106351503687353	0.457092932008717	0.999484114942129
"100033459"	932.524170062619	-3.95053807415999e-05	0.0106206865981386	0.881456245399119	0.999484114942129
"100034251"	2566.96172799039	-0.000667984803616149	0.0106357630329306	0.292358181183415	0.999484114942129
"100034361"	6203.87689131633	0.00184580706113313	0.0107068977523738	0.239715434792812	0.999484114942129
"100034363"	6.87446301544819	5.82027676664641e-05	0.0106242141038213	0.327367499836095	NA
"100034684"	460.979054522449	3.06603732439308e-05	0.0106235741147204	0.798014856287974	0.999484114942129
"100034726"	473.950031084628	0.000313418536634887	0.010608984811713	0.643656908076044	0.999484114942129
"100034748"	15.1464520315847	-4.67108910289558e-06	0.0106227317587757	0.977477853545703	NA
"100036521"	1307.79629711617	0.000520391007426679	0.0105465908207927	0.703773609074012	0.999484114942129
"100037258"	10676.1976482109	0.000565326295974277	0.010559532132176	0.657044462971153	0.999484114942129
"100037278"	444.934955783687	-0.00145750740233207	0.0107521218699514	0.0168475654411175	0.999484114942129
"100037282"	4500.71347583372	0.000550170035398119	0.0105728430908246	0.612703757761895	0.999484114942129
"100037283"	290.632616692833	-0.000698581387488506	0.0106347559621534	0.29967725165706	0.999484114942129
"100038347"	93.1606079574763	-0.000160025942771966	0.0106177901536542	0.695660213849337	0.999484114942129
"100038371"	11.0928523742231	-0.00011960159706813	0.0106239791043368	0.469008256621801	NA
"100038417"	3.81939046503462	3.4112738363094e-05	0.0106237127579021	0.741028082070605	NA
"100038489"	1.50157003098424	-2.18648623505708e-05	0.0106239976785812	0.712828769411182	NA
"100038538"	76.6623802596165	7.24624204345542e-05	0.0106156102436335	0.851529564322588	0.999484114942129
"100038570"	70.6239984593961	0.000331873084641241	0.0106230141451985	0.440973821336158	0.999484114942129
"100038628"	12.3213892897985	-1.84238258933017e-05	0.0106230107483449	0.902766459772154	NA
