Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
"REGULATION OF TRANSCRIPTION, DNA-TEMPLATED%GOBP%GO:0006355",0.6103555399242395,1.60171755062426,0.03488372093023256,0.11470366285482092,734,56,329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;431706;22061;75801;67255;50709;18991;22062;22654;11924;240063;245595;214779;54388;27274;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;278672;654801;65020;243529;94187;78321;353310;224893;50708,329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869
RESPONSE TO OTHER ORGANISM%GOBP%GO:0051707,0.719866580069933,1.6119781892400171,0.019417475728155338,0.11565952671194443,258,26,215257;56744;436440;217304;238393;19695;12484;244202;14468;13088;116746;239081;246729;69677;54448;246084;15122;13035;432867;219033;16639;53973;170779;69165;667373;20556,215257
PROTEIN METABOLIC PROCESS%GOBP%GO:0019538,-0.632337218730892,-1.4763619739559095,0.04424778761061947,0.1159308965894216,876,35,75763;98403;19054;67008;57775;50709;237300;16619;436523;214766;114671;67373;237636;13035;16622;328780;114228;13648;16613;381944;100040208;240755;100502936;83996;18011;109359;27366;13532;71007;76976;66381;56550;50708;66167;66268,66381;56550;50708;66167;66268
REGULATION OF CELLULAR MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:2000112,0.63499131498674,1.6501864899988425,0.011764705882352941,0.11621292157659488,837,59,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;72836;431706;22061;75801;67255;50709;18991;22062;22654;11924;240063;245595;214779;54388;27274;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;18011;278672;654801;65020;243529;94187;78321;353310;224893;50708,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;72836
CELLULAR RESPONSE TO STIMULUS%GOBP%GO:0051716,0.5675799594400693,1.6438875227340315,0.0,0.11690466515740794,1935,124,215257;240328;237877;240327;226691;60599;76131;320640;114741;56744;258571;15950;258335;15248;244556;72836;319146;436440;320832;213438;217304;22061;331493;258548;258336;258513;230622;623781;258323;75801;19695;258974;257936;245195;623121;12484;22296;14468;13088;116746;246735;22062;195564;18343;258543;235674;237300;66786;239081;258729;259008;259051;69677;258554;545652;258438;54448;18317;243864;258765;258861;16415;394430;71406;258443;18373;57270;258824;258450;237636;257941;13035;258503;259015;18829;258304;100042295;17071;57253;113853;230623;329918;432867;219033;258364;21432;258807;74556;72082;195208;74264;258831;435791;72303;494124;258508;80978;387514;545649;258853;259097;52668;258454;668208;18011;258478;257662;27412;100503710;230613;258019;65020;109359;545645;258247;100041546;170639;71007;94187;14381;270210;50780;353310;246196,215257;240328;237877;240327;226691;60599;76131;320640
CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007166,0.6979176855838731,1.5956763945723584,0.0,0.11718950074950743,418,27,215257;320640;56744;15248;319146;22061;230622;12484;195564;69677;545652;54448;243864;16415;18829;230623;329918;74556;435791;545649;668208;18011;27412;230613;65020;545645;94187,215257
REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051239,0.6458486454529357,1.6061401211678679,0.03571428571428571,0.11728400841140221,784,38,215257;237877;26888;320640;56744;12095;20926;67102;22061;73244;230622;19695;12484;244202;22062;195564;210108;69677;241514;11924;54448;71406;77424;230623;329918;21432;170779;18011;69165;230613;278672;21957;170639;94187;14381;574437;27083;353310,215257;237877;26888;320640
REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793,0.6473930967660706,1.6037479949187097,0.011904761904761904,0.11750994079061938,667,32,215257;237877;235682;60599;241950;56744;12095;20926;67102;22061;75311;73244;623781;19695;12484;22062;210108;69677;241514;11924;71406;68662;77424;21432;20755;18011;278672;14381;574437;27083;353310;246196,215257;237877;235682;60599
RESPONSE TO EXTERNAL BIOTIC STIMULUS%GOBP%GO:0043207,0.719866580069933,1.650993279945298,0.0,0.11923143902014278,259,26,215257;56744;436440;217304;238393;19695;12484;244202;14468;13088;116746;239081;246729;69677;54448;246084;15122;13035;432867;219033;16639;53973;170779;69165;667373;20556,215257
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584,0.6443086957709647,1.654847018401988,0.012048192771084338,0.11977045999220493,515,46,215257;237877;60599;320640;382551;14128;15950;15248;436440;213438;15024;22061;331493;73244;230622;19695;12484;244202;14990;266815;22062;195564;210108;239081;75697;69677;22654;12480;54448;243864;13035;18829;230623;329918;74556;630294;195208;14985;224754;546049;18011;27412;230613;170639;94187;15039,215257;237877;60599;320640;382551
MULTICELLULAR ORGANISMAL REPRODUCTIVE PROCESS%GOBP%GO:0048609,-0.6941342446855528,-1.477820158367371,0.05555555555555555,0.12166560837427794,176,20,229227;195434;75801;22446;22445;331416;54388;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
POSITIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009967,0.7188964199511851,1.5538037546352967,0.036585365853658534,0.12200426318340193,366,21,215257;60599;382551;15248;213438;22061;331493;73244;12484;22062;210108;69677;22654;54448;18829;195208;546049;18011;27412;170639;94187,215257;60599;382551
REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0019219,0.6289463482073254,1.6764608176975293,0.011111111111111112,0.1226691949975168,876,61,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;72836;431706;319601;22061;75801;67255;50709;18991;22062;246729;22654;11924;240063;245595;214779;54388;27274;76572;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;278672;654801;65020;243529;94187;78321;353310;224893;50708,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;72836
REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009889,0.6306063481271496,1.6596398913934327,0.012195121951219513,0.12326870610088814,914,62,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;228807;98403;15248;620419;20926;66869;72836;431706;319601;22061;75801;67255;50709;18991;22062;22654;11924;240063;245595;214779;54388;27274;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;18011;69165;278672;654801;65020;243529;94187;78321;353310;224893;50708,237877;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;228807;98403;15248;620419;20926;66869;72836
POSITIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009893,0.6742819671240804,1.6829042136226904,0.02247191011235955,0.12353726537343909,847,40,215257;237877;60599;382551;114741;242109;14128;242466;56744;20926;319146;22061;12484;50709;18991;22062;69677;241514;22654;545652;11924;54448;245595;54388;18829;21432;76572;100041294;435791;107970;74673;545649;105590;668208;18011;69165;545645;243529;94187;50708,215257;237877;60599;382551;114741;242109;14128;242466;56744
CELLULAR PROTEIN METABOLIC PROCESS%GOBP%GO:0044267,-0.6562860979444151,-1.4550431862228155,0.042735042735042736,0.12370888026379584,731,23,75763;98403;19054;57775;50709;237300;114671;13035;328780;381944;240755;100502936;18011;109359;27366;13532;71007;76976;66381;56550;50708;66167;66268,66381;56550;50708;66167;66268
POSITIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048518,0.5373486281368387,1.5464496198382252,0.03614457831325301,0.12394787252568641,1465,87,215257;237877;60599;668101;320640;382551;114741;242109;14128;242466;56744;15950;69810;15248;20926;319146;436440;320832;213438;67102;217304;15024;22061;331493;73244;230622;623781;19695;12484;244202;14990;266815;50709;18991;22062;195564;210108;239081;75697;69677;241514;22654;545652;11924;12480;54448;243864;245595;54388;68662;13035;18829;77424;230623;329918;219033;21432;76572;74556;100041294;630294;195208;14985;435791;107970;74673;224754;69582;545649;105590;546049;170779;668208;18011;69165;27412;230613;545645;243529;170639;94187;14381;574437;27083;15039;353310;50708,215257;237877;60599;668101;320640;382551;114741;242109;14128;242466;56744;15950;69810;15248;20926;319146;436440;320832;213438;67102
REGULATION OF METABOLIC PROCESS%GOBP%GO:0019222,0.6250108487913958,1.6914571592123588,0.0,0.12399503686074186,1482,98,215257;237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;622675;228807;98403;15248;20706;620419;20926;66869;72836;319146;628900;431706;319601;22061;238393;75801;271047;12484;238395;67255;93806;50709;18991;22062;238568;246729;383548;69677;241514;22654;545652;11924;20248;54448;240063;245595;214779;54388;27274;78242;18829;20726;21432;76572;20704;100041294;434423;435791;72807;107970;74673;97848;235956;20709;545649;70887;105590;546049;105594;52668;20555;665433;668208;18011;69165;278672;20707;654801;65020;545645;243529;94187;14381;78321;353310;224893;50708,215257;237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;622675;228807;98403;15248;20706;620419;20926;66869;72836;319146
POSITIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048522,0.5646347715725898,1.5271932287821703,0.022727272727272728,0.12607026760318105,1299,64,215257;237877;60599;668101;382551;114741;242109;242466;56744;69810;15248;20926;319146;320832;213438;67102;217304;22061;331493;73244;623781;19695;12484;244202;50709;18991;22062;210108;69677;241514;22654;545652;11924;54448;245595;54388;68662;18829;77424;219033;21432;76572;100041294;195208;435791;107970;74673;69582;545649;105590;546049;170779;668208;18011;69165;27412;545645;243529;170639;94187;574437;27083;353310;50708,215257;237877;60599;668101;382551;114741;242109;242466;56744;69810;15248;20926;319146;320832;213438;67102
POSITIVE REGULATION OF SIGNALING%GOBP%GO:0023056,0.7188964199511851,1.5311195208801587,0.056818181818181816,0.12645661375203943,406,21,215257;60599;382551;15248;213438;22061;331493;73244;12484;22062;210108;69677;22654;54448;18829;195208;546049;18011;27412;170639;94187,215257;60599;382551
CELLULAR RESPONSE TO ORGANIC SUBSTANCE%GOBP%GO:0071310,0.8019295175004949,1.8337426517759674,0.01098901098901099,0.12658907528879085,483,28,215257;240328;240327;226691;60599;56744;15950;319146;217304;623121;14468;69677;545652;54448;71406;13035;18829;17071;219033;21432;435791;545649;668208;18011;545645;100041546;170639;353310,215257;240328;240327;226691;60599
RESPONSE TO CHEMICAL%GOBP%GO:0042221,0.6749765802561613,1.867448861137624,0.0,0.1272808188696039,970,66,215257;240328;240327;226691;60599;56744;15950;12095;319146;436440;628900;217304;15497;238393;19695;245195;623121;12484;22296;14468;76459;13088;116746;235674;171262;69677;171188;545652;11924;54448;243864;394430;71406;15122;13035;18829;100042295;17071;57253;113853;432867;219033;21432;72082;20704;20755;171267;20756;435791;72303;15495;171200;242607;387514;545649;668208;18011;171275;83885;13587;545645;100041546;170639;14381;353310;246196,215257;240328;240327;226691;60599
REGULATION OF CELL DIFFERENTIATION%GOBP%GO:0045595,0.6657370155533977,1.5335710402738372,0.02197802197802198,0.12776203179538692,465,23,215257;235682;60599;241950;56744;20926;67102;22061;19695;12484;22062;210108;69677;241514;11924;68662;77424;18011;278672;14381;574437;27083;353310,215257;235682;60599;241950
REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0050789,0.4915832417769782,1.5187544577829597,0.0,0.12783421373425435,3189,229,215257;237877;329002;235469;56707;235682;217732;229227;20557;60599;668101;76131;26888;231866;320640;382551;241950;207474;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;258571;15950;622675;258335;228807;98403;69810;12095;15248;20706;620419;20926;66869;72836;319146;436440;320832;213438;67102;628900;72611;217304;431706;319601;170942;15024;22061;331493;258548;75311;73244;258336;238393;258513;100463512;230622;623781;258323;19054;75801;271047;19695;258974;271375;257936;12484;238395;67255;26367;22296;244202;243958;14990;320148;93806;266815;50709;18991;246735;22062;195564;18343;258543;210108;237300;66786;239081;258729;238568;259008;246729;259051;383548;75697;69677;258554;241514;22654;545652;11924;258438;20248;12480;54448;240063;239849;18317;243864;258765;245595;258861;229588;16415;214779;71406;54388;68662;78081;258443;18373;57270;258824;258450;257941;13035;27274;258503;78242;100505386;259015;18829;258304;77424;17071;57253;113853;20726;230623;329918;320769;78478;219033;258364;21432;76572;258807;74556;20704;20755;100041294;630294;195208;434423;258831;14985;435791;72807;107970;494124;74673;258508;381944;97848;80978;224754;235956;20709;69582;387514;545649;70887;105590;546049;258853;105594;259097;52668;170779;20555;271278;665433;258454;668208;18011;258478;69165;257662;27412;381933;100503710;230613;278672;258019;20707;654801;65020;109359;21957;545645;13532;243529;219131;258247;100041546;170639;71007;94187;14381;574437;78321;27083;399591;15039;50780;99889;20556;353310;66381;224893;246196;50708,215257;237877;329002;235469;56707;235682;217732;229227;20557;60599;668101;76131;26888;231866;320640;382551;241950;207474;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;258571;15950;622675;258335;228807;98403;69810;12095;15248;20706;620419;20926;66869;72836;319146;436440;320832;213438;67102
REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:2001141,0.6039793320486904,1.5369679273189956,0.023529411764705882,0.12820314364402136,740,57,329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869;431706;319601;22061;75801;67255;50709;18991;22062;22654;11924;240063;245595;214779;54388;27274;100041294;72807;107970;235956;70887;105590;105594;52668;20555;665433;278672;654801;65020;243529;94187;78321;353310;224893;50708,329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;228807;98403;15248;620419;20926;66869
RESPONSE TO OXYGEN-CONTAINING COMPOUND%GOBP%GO:1901700,0.6352273242931631,1.5140565664433607,0.07777777777777778,0.12874568762897273,352,25,215257;60599;56744;628900;217304;15497;238393;19695;69677;54448;243864;71406;13035;17071;219033;20704;20755;20756;15495;18011;100041546;170639;14381;353310;246196,215257;60599
POSITIVE REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051240,0.7867736286459943,1.6607404917207154,0.024390243902439025,0.12888275137253943,453,20,215257;237877;56744;67102;22061;73244;12484;244202;22062;69677;241514;11924;54448;170779;18011;69165;170639;574437;27083;353310,215257;237877
SIGNAL TRANSDUCTION%GOBP%GO:0007165,0.5446038085760254,1.5065119538715248,0.0,0.12978173796946652,1474,91,215257;237877;76131;320640;56744;258571;258335;15248;319146;436440;320832;213438;22061;331493;258548;258336;258513;230622;623781;258323;19695;258974;257936;12484;22296;246735;22062;195564;18343;258543;237300;66786;239081;258729;259008;259051;69677;258554;545652;258438;54448;18317;243864;258765;258861;16415;258443;18373;57270;258824;258450;257941;258503;259015;18829;258304;17071;57253;113853;230623;329918;258364;258807;74556;195208;258831;435791;494124;258508;80978;387514;545649;258853;259097;52668;258454;668208;18011;258478;257662;27412;100503710;230613;258019;65020;545645;258247;100041546;170639;94187;50780,215257;237877;76131;320640;56744;258571;258335;15248;319146;436440;320832;213438
REGULATION OF CELLULAR PROCESS%GOBP%GO:0050794,0.4978459683969414,1.519325098969815,0.025974025974025976,0.13010426205659603,3020,208,215257;237877;329002;235469;56707;235682;217732;229227;20557;60599;668101;76131;231866;320640;382551;241950;207474;114741;242109;193452;240064;243906;240186;72180;242466;56744;258571;258335;228807;98403;69810;12095;15248;20706;620419;20926;66869;72836;319146;436440;320832;213438;67102;628900;72611;217304;431706;319601;170942;22061;331493;258548;75311;73244;258336;238393;258513;100463512;230622;623781;258323;19054;75801;271047;19695;258974;257936;12484;238395;67255;26367;22296;244202;243958;93806;50709;18991;246735;22062;195564;18343;258543;210108;237300;66786;239081;258729;238568;259008;246729;259051;383548;69677;258554;241514;22654;545652;11924;258438;20248;54448;240063;18317;243864;258765;245595;258861;229588;16415;214779;71406;54388;68662;258443;18373;57270;258824;258450;257941;27274;258503;78242;100505386;259015;18829;258304;77424;17071;57253;113853;20726;230623;329918;320769;78478;219033;258364;21432;76572;258807;74556;20704;20755;100041294;195208;258831;435791;72807;107970;494124;74673;258508;381944;97848;80978;235956;20709;69582;387514;545649;70887;105590;546049;258853;105594;259097;52668;170779;20555;271278;665433;258454;668208;18011;258478;69165;257662;27412;381933;100503710;230613;278672;258019;20707;654801;65020;109359;545645;13532;243529;258247;100041546;170639;71007;94187;14381;574437;78321;27083;399591;50780;99889;20556;353310;66381;224893;246196;50708,215257;237877;329002;235469;56707;235682;217732;229227;20557;60599;668101;76131;231866;320640;382551;241950;207474;114741;242109;193452;240064;243906;240186;72180;242466;56744;258571;258335;228807;98403;69810;12095;15248;20706;620419;20926;66869;72836;319146;436440;320832;213438;67102
MULTICELLULAR ORGANISM REPRODUCTION%GOBP%GO:0032504,-0.6941342446855528,-1.4778505335808771,0.026785714285714284,0.1310245013261455,177,20,229227;195434;75801;22446;22445;331416;54388;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
CELL COMMUNICATION%GOBP%GO:0007154,0.5446038085760254,1.5005386831465306,0.01098901098901099,0.13234490395178258,1572,91,215257;237877;76131;320640;56744;258571;258335;15248;319146;436440;320832;213438;22061;331493;258548;258336;258513;230622;623781;258323;19695;258974;257936;12484;22296;246735;22062;195564;18343;258543;237300;66786;239081;258729;259008;259051;69677;258554;545652;258438;54448;18317;243864;258765;258861;16415;258443;18373;57270;258824;258450;257941;258503;259015;18829;258304;17071;57253;113853;230623;329918;258364;258807;74556;195208;258831;435791;494124;258508;80978;387514;545649;258853;259097;52668;258454;668208;18011;258478;257662;27412;100503710;230613;258019;65020;545645;258247;100041546;170639;94187;50780,215257;237877;76131;320640;56744;258571;258335;15248;319146;436440;320832;213438
SEXUAL REPRODUCTION%GOBP%GO:0019953,-0.6631121842862643,-1.4808335175051,0.02608695652173913,0.1385484543793783,171,22,229227;102443351;195434;75801;22446;22445;331416;54388;78081;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
REGULATION OF CELL COMMUNICATION%GOBP%GO:0010646,0.6031091427792711,1.490082188260823,0.056818181818181816,0.13911732014129413,801,38,215257;237877;60599;382551;207474;56744;98403;15248;319146;213438;319601;22061;331493;73244;12484;243958;22062;210108;69677;22654;545652;54448;71406;18829;195208;435791;545649;546049;668208;18011;27412;65020;545645;170639;94187;50780;353310;66381,215257;237877;60599;382551;207474
REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048583,0.513846395020454,1.4849224263424186,0.024096385542168676,0.1405119869971556,957,71,215257;237877;60599;320640;382551;207474;14128;56744;15950;98403;12095;15248;20926;319146;436440;213438;319601;15024;22061;331493;73244;230622;19695;271375;12484;244202;243958;14990;320148;266815;22062;195564;210108;239081;75697;69677;22654;545652;20248;12480;54448;239849;243864;71406;13035;18829;230623;329918;74556;630294;195208;14985;435791;224754;545649;546049;668208;18011;27412;230613;65020;545645;219131;170639;94187;14381;15039;50780;353310;66381;246196,215257;237877;60599;320640;382551;207474;14128;56744;15950;98403;12095;15248;20926;319146;436440;213438
DEFENSE RESPONSE%GOBP%GO:0006952,0.8251534639567593,1.89187125315028,0.011494252873563218,0.1411156904858652,314,30,215257;240328;240327;26888;56744;73174;19695;330490;12484;244202;243958;14468;116746;233001;22062;239081;246729;75697;69677;54448;16415;246084;667281;13035;18829;432867;219033;170779;97895;667373,215257;240328;240327
CELLULAR LIPID METABOLIC PROCESS%GOBP%GO:0044255,-0.6751069993469098,-1.4280267484725173,0.042735042735042736,0.1417757053921647,207,18,13088;320997;235674;11685;22239;320581;631304;217698;69117;171281;72082;72303;13118;74854;70902;105387;171210;66268,105387;171210;66268
REPRODUCTIVE PROCESS%GOBP%GO:0022414,-0.6278290635214927,-1.428893920100922,0.03571428571428571,0.1489448927631295,295,26,229227;102443351;22061;73244;195434;75801;22446;22445;331416;54388;78081;72807;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;381196;574437;27083;22441;70691,70691
MULTI-ORGANISM REPRODUCTIVE PROCESS%GOBP%GO:0044703,-0.6507468655346516,-1.4087104062078888,0.045871559633027525,0.15046040856251017,200,23,229227;102443351;73244;195434;75801;22446;22445;331416;54388;78081;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
CELLULAR PROTEIN MODIFICATION PROCESS%GOBP%GO:0006464,-0.6305179841137071,-1.4109394475420018,0.10810810810810811,0.1556919691019721,572,21,75763;98403;19054;57775;50709;237300;114671;13035;328780;381944;240755;100502936;18011;109359;27366;13532;71007;66381;56550;50708;66268,66381;56550;50708;66268
REPRODUCTION%GOBP%GO:0000003,-0.6278290635214927,-1.3904657052884972,0.09734513274336283,0.1664201676716241,295,26,229227;102443351;22061;73244;195434;75801;22446;22445;331416;54388;78081;72807;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;381196;574437;27083;22441;70691,70691
RESPONSE TO STIMULUS%GOBP%GO:0050896,0.4964102461978239,1.4492503750676184,0.04477611940298507,0.16893106394592738,2406,174,215257;240328;237877;240327;226691;60599;76131;26888;320640;114741;56744;258571;15950;258335;12095;15248;20706;244556;73174;72836;319146;436440;320832;213438;628900;217304;15024;22061;331493;258548;15497;73244;258336;238393;258513;230622;623781;258323;75801;19695;258974;257936;245195;330490;623121;12484;22296;244202;243958;14990;14468;76459;13088;266815;116746;233001;246735;22062;195564;18343;258543;235674;210108;237300;66786;239081;258729;259008;246729;259051;75697;171262;69677;258554;171188;545652;11924;258438;12480;54448;18317;243864;258765;258861;16415;394430;71406;246084;258443;15122;18373;57270;258824;258450;237636;257941;667281;13035;258503;259015;18829;258304;100042295;17071;57253;113853;230623;329918;432867;219033;258364;21432;258807;74556;72082;20704;20755;171267;20756;630294;195208;74264;258831;14985;435791;72303;15495;494124;258508;80978;224754;16639;171200;242607;387514;545649;53973;58210;258853;259097;52668;170779;271278;258454;668208;18011;258478;69165;171275;257662;27412;100503710;230613;83885;97895;258019;65020;13587;109359;545645;258247;100041546;170639;71007;667373;94187;14381;270210;15039;50780;20556;353310;171210;246196,215257;240328;237877;240327;226691;60599;76131;26888;320640;114741;56744;258571;15950;258335;12095;15248;20706;244556;73174;72836;319146;436440;320832;213438
REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009966,0.6031091427792711,1.445676198860172,0.1038961038961039,0.16959644343382382,702,38,215257;237877;60599;382551;207474;56744;98403;15248;319146;213438;319601;22061;331493;73244;12484;243958;22062;210108;69677;22654;545652;54448;71406;18829;195208;435791;545649;546049;668208;18011;27412;65020;545645;170639;94187;50780;353310;66381,215257;237877;60599;382551;207474
POSITIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010628,0.6542367990374974,1.441104512323453,0.1038961038961039,0.17023926768484235,481,24,215257;60599;114741;242109;242466;56744;20926;22061;50709;18991;22062;69677;241514;11924;54448;245595;54388;76572;100041294;107970;105590;243529;94187;50708,215257;60599;114741;242109;242466;56744
CELLULAR RESPONSE TO OXYGEN-CONTAINING COMPOUND%GOBP%GO:1901701,0.6979911804467225,1.4509872607574572,0.05434782608695652,0.17031715164733102,246,15,215257;60599;56744;217304;69677;54448;71406;13035;17071;219033;18011;100041546;170639;353310;246196,215257;60599
NEGATIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048523,0.5278336307239208,1.4367758116890896,0.08823529411764706,0.17141405932547746,1194,74,215257;237877;56707;217732;20557;60599;76131;231866;241950;242109;240186;56744;98403;15248;20706;20926;66869;72836;628900;72611;431706;319601;170942;22061;75311;238393;100463512;19054;271047;19695;12484;238395;26367;243958;93806;50709;246735;22062;210108;238568;383548;22654;20248;71406;54388;27274;78242;100505386;77424;20726;78478;21432;20704;72807;107970;97848;20709;546049;52668;20555;665433;18011;20707;109359;243529;71007;94187;14381;399591;50780;20556;353310;66381;50708,215257;237877;56707;217732;20557;60599;76131;231866;241950;242109;240186;56744;98403;15248;20706;20926;66869;72836
POSITIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050778,0.6112956267267791,1.4328736886968891,0.07920792079207921,0.1715977682764475,144,26,237877;320640;382551;14128;15950;436440;15024;230622;19695;12484;244202;14990;266815;195564;239081;12480;243864;13035;230623;329918;74556;630294;14985;224754;230613;15039,237877;320640;382551;14128;15950
POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002684,0.6055115933054568,1.4304405313835158,0.08641975308641975,0.171641665277874,225,32,237877;668101;320640;382551;14128;56744;15950;436440;320832;217304;15024;230622;19695;12484;244202;14990;266815;195564;239081;69677;12480;243864;13035;18829;230623;329918;74556;630294;14985;224754;230613;15039,237877;668101;320640;382551;14128;56744;15950;436440;320832
BIOLOGICAL REGULATION%GOBP%GO:0065007,0.47214118666930716,1.427673855587895,0.0,0.17207945076987857,3371,249,215257;237877;329002;235469;56707;235682;217732;229227;20557;60599;668101;76131;26888;231866;399568;320640;382551;241950;207474;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;258571;15950;102443351;622675;258335;228807;98403;69810;12095;15248;20706;620419;20926;66869;72836;319146;436440;320832;213438;67102;628900;72611;217304;431706;319601;170942;15024;22061;331493;258548;75311;15497;73244;258336;238393;258513;100463512;230622;623781;258323;19054;75801;271047;19695;258974;271375;257936;78459;12484;238395;67255;26367;22296;244202;243958;14990;320148;76459;93806;266815;50709;18991;246735;22062;195564;18343;258543;235674;210108;237300;66786;239081;258729;238568;259008;246729;259051;383548;75697;69677;258554;241514;22654;545652;11924;258438;16619;20248;12480;54448;240063;239849;18317;243864;258765;245595;258861;229588;16415;214779;71406;54388;68662;78081;258443;15122;18373;57270;258824;258450;237636;257941;13035;27274;258503;78242;100505386;259015;18829;258304;69117;77424;16622;17071;57253;113853;20726;230623;329918;320769;78478;219033;258364;21432;76572;258807;74556;72082;20704;20755;100041294;630294;195208;434423;13648;258831;14985;435791;72807;107970;15495;83457;494124;74673;16613;258508;381944;97848;80978;224754;235956;20709;242607;69582;387514;545649;70887;105590;546049;258853;105594;259097;52668;170779;20555;271278;665433;258454;668208;18011;258478;69165;257662;27412;68723;381933;100503710;230613;278672;258019;20707;654801;65020;109359;21957;545645;13532;243529;219131;258247;100041546;170639;71007;94187;14381;574437;78321;27083;399591;15039;50780;105387;99889;20556;353310;66381;224893;246196;14325;50708,215257;237877;329002;235469;56707;235682;217732;229227;20557;60599;668101;76131;26888;231866;399568;320640;382551;241950;207474;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;258571;15950;102443351;622675;258335;228807;98403;69810;12095;15248;20706;620419;20926;66869;72836;319146;436440;320832;213438;67102
RESPONSE TO ORGANIC SUBSTANCE%GOBP%GO:0010033,0.7388820752923276,1.9089436644141375,0.0,0.18262030533464912,709,48,215257;240328;240327;226691;60599;56744;15950;319146;436440;628900;217304;15497;238393;19695;623121;12484;22296;14468;171262;69677;171188;545652;54448;243864;71406;15122;13035;18829;17071;113853;219033;21432;20704;20755;171267;20756;435791;15495;171200;545649;668208;18011;171275;545645;100041546;170639;14381;353310,215257;240328;240327;226691;60599
REGULATION OF SIGNALING%GOBP%GO:0023051,0.6031091427792711,1.404381320408669,0.10204081632653061,0.18563882277819702,805,38,215257;237877;60599;382551;207474;56744;98403;15248;319146;213438;319601;22061;331493;73244;12484;243958;22062;210108;69677;22654;545652;54448;71406;18829;195208;435791;545649;546049;668208;18011;27412;65020;545645;170639;94187;50780;353310;66381,215257;237877;60599;382551;207474
