Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0032501,-0.24075526863906896,-0.6889006637413028,0.9913793103448276,0.9533902507531073,2082,134,237877;229227;233865;399568;241950;243906;56744;258571;258335;12095;15248;20926;319146;67102;624845;170942;22061;258548;15497;73244;258336;258513;195434;258323;75801;258974;257936;12484;67255;26367;625029;243958;100041379;244234;18991;22062;22446;18343;258543;210108;546980;66786;258729;259008;259051;75697;22239;218921;258554;241514;545652;11924;258438;16619;22445;331416;18317;258765;258861;54388;214766;258443;15122;18373;57270;258824;258450;268482;237636;257941;258503;100505386;435285;259015;18829;258304;16622;57253;113853;219033;258364;21432;258807;20755;20756;195208;434423;13648;258831;435791;107970;15495;16613;100039065;258508;100039030;230909;20709;387514;545649;258853;105594;259097;20763;546272;100043216;258454;668208;18011;258478;100042109;113863;627081;257662;27412;68723;27084;20765;244810;258019;654801;21957;545645;13532;258247;170639;94187;14381;574437;27083;22441;99650;353310;70691,70691
REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0033043,-0.3190847974194445,-0.6678856721892465,0.8761061946902655,0.9535019203383247,334,18,98403;20926;72836;75311;623781;50709;22654;54388;100505386;78478;195208;107970;381933;243529;71007;399591;99889;50708,399591;99889;50708
SENSORY PERCEPTION%GOBP%GO:0007600,0.2877194913854379,0.705133058534886,0.9294117647058824,0.9556592436898342,722,45,258571;258335;258548;258336;258513;258323;258974;257936;18343;258543;66786;258729;259008;259051;258554;258438;18317;258765;258861;258443;18373;57270;258824;258450;257941;258503;259015;258304;57253;113853;258364;258807;195208;258831;258508;387514;258853;259097;258454;258478;113863;257662;258019;258247;170639,258571;258335;258548;258336;258513;258323;258974;257936;18343;258543;66786;258729;259008;259051;258554;258438;18317;258765;258861;258443;18373;57270;258824;258450;257941;258503;259015;258304;57253;113853;258364;258807;195208;258831;258508;387514;258853;259097;258454;258478;113863;257662;258019;258247;170639
CELLULAR LOCALIZATION%GOBP%GO:0051641,-0.30330959943286157,-0.6061420716094192,0.9811320754716981,0.9712596556337116,551,16,229227;241950;12484;93711;22239;19428;75471;78478;83457;242607;69582;245423;399591;76976;99889;14325,399591;76976;99889;14325
ESTABLISHMENT OF LOCALIZATION%GOBP%GO:0051234,0.3005123221115794,0.6796547421061135,0.9010989010989011,0.9748972865592126,935,28,229227;241950;102443351;20926;432838;12484;76459;22062;333669;93711;22654;19428;75471;237636;381417;83457;233274;242607;215929;170779;622307;328059;18011;69165;83885;76976;99889;99650,229227;241950;102443351;20926
REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001932,0.30389624663407094,0.6689379062545688,0.8717948717948718,0.9768843539040972,323,15,319146;12484;22062;545652;18829;21432;435791;74673;545649;546049;20555;668208;18011;65020;545645,319146;12484;22062;545652;18829;21432;435791;74673;545649;546049;20555;668208;18011;65020;545645
REGULATION OF PHOSPHORYLATION%GOBP%GO:0042325,0.30389624663407094,0.6188485215711373,0.8918918918918919,0.989063929677063,347,15,319146;12484;22062;545652;18829;21432;435791;74673;545649;546049;20555;668208;18011;65020;545645,319146;12484;22062;545652;18829;21432;435791;74673;545649;546049;20555;668208;18011;65020;545645
REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0051174,0.30389624663407094,0.604607456551661,0.9529411764705882,0.9894700179950078,390,15,319146;12484;22062;545652;18829;21432;435791;74673;545649;546049;20555;668208;18011;65020;545645,319146;12484;22062;545652;18829;21432;435791;74673;545649;546049;20555;668208;18011;65020;545645
REGULATION OF BIOLOGICAL QUALITY%GOBP%GO:0065008,0.242206309877522,0.6189887294080304,0.975609756097561,0.9961709079865361,994,51,229227;399568;241950;56744;102443351;69810;72836;213438;22061;331493;15497;73244;623781;78459;12484;26367;76459;22062;235674;210108;75697;241514;22654;16619;15122;237636;69117;16622;320769;78478;21432;72082;20755;195208;13648;15495;83457;16613;242607;18011;68723;170639;71007;94187;14381;574437;27083;399591;105387;99889;14325,229227;399568;241950;56744;102443351;69810;72836;213438;22061;331493;15497;73244
NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0007399,0.22946227528865776,0.4686855765772517,1.0,0.9966331920821966,542,20,67102;624845;22061;15497;12484;625029;18991;22062;210108;22239;241514;11924;100505386;195208;15495;105594;18011;94187;574437;27083,67102;624845;22061;15497;12484;625029;18991;22062;210108;22239;241514;11924
REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019220,0.30389624663407094,0.6234391408849135,0.9591836734693877,1.0,390,15,319146;12484;22062;545652;18829;21432;435791;74673;545649;546049;20555;668208;18011;65020;545645,319146;12484;22062;545652;18829;21432;435791;74673;545649;546049;20555;668208;18011;65020;545645
NEUROGENESIS%GOBP%GO:0022008,0.2411482595985268,0.4748807979279019,0.9880952380952381,1.0,427,15,67102;624845;12484;625029;18991;22062;210108;22239;241514;11924;195208;105594;18011;574437;27083,67102;624845;12484;625029;18991;22062;210108;22239;241514;11924
LOCALIZATION%GOBP%GO:0051179,0.19165663917035747,0.5009265606930128,1.0,1.0,1207,45,229227;241950;56744;102443351;20926;432838;245195;12484;76459;116746;22062;210108;333669;93711;22239;22654;11924;19428;16415;75471;237636;18829;381417;432867;78478;195208;107970;83457;233274;242607;69582;215929;170779;622307;245423;328059;18011;69165;83885;170639;399591;76976;99889;99650;14325,229227;241950;56744;102443351;20926
