"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"100009600"	152.84699977398	-0.470197915270196	0.241798758421344	0.00134334663071328	0.181044631775022
"100009609"	38.0066075584381	-0.00330859904337606	0.0276704509939674	0.147520828308269	0.805891607571084
"100017"	3882.48739331096	0.0086320622713547	0.0270361199974091	0.400527394196386	0.92140555274058
"100019"	9010.53832723663	0.0132627650750682	0.0311461298346799	0.0756720529080482	0.7166272203088
"100033459"	932.524170062619	0.00214569843417568	0.027539970351837	0.220331812415411	0.861172612085491
"100034251"	2566.96172799039	0.000191158353670494	0.0271739990171565	0.983257739516296	0.998949712228096
"100034361"	6203.87689131633	-0.00560156781165568	0.0250566279850362	0.628158342206415	0.96462496641347
"100034363"	6.87446301544819	-0.000171360276582066	0.027464807760101	0.758526546892955	NA
"100034684"	460.979054522449	-0.000696628109391679	0.0274665465449852	0.481299123364681	0.9413628958544
"100034726"	473.950031084628	0.00172496949313597	0.0270744561456845	0.736262183008379	0.971698526044154
"100034748"	15.1464520315847	-0.000997299206010598	0.0274602610210058	0.473556396020647	0.939691145196825
"100036521"	1307.79629711617	0.0254576537972494	0.0424771358118756	0.14551531950191	0.805426917492294
"100037258"	10676.1976482109	0.228320099652584	0.0845979938605679	0.000277392998728409	0.0823477642485253
"100037278"	444.934955783687	-0.231123161764308	0.272866346126855	0.00526859620223861	0.316887130255354
"100037282"	4500.71347583372	-0.0102724254989952	0.0283969468098451	0.264833305565556	0.872588474042202
"100037283"	290.632616692833	-0.00217964421358916	0.0271690012000205	0.660524792772661	0.9671108884251
"100038347"	93.1606079574763	-0.000374035212125899	0.0272774324189064	0.907874763214679	0.987943146403219
"100038371"	11.0928523742231	0.000671635035689105	0.0274554724108678	0.58192897660103	0.95852019938224
"100038417"	3.81939046503462	7.25875945171446e-05	0.0274595852091594	0.923790557803775	NA
"100038489"	1.50157003098424	0.000104745180587182	0.0274663456958209	0.795996677483322	NA
"100038538"	76.6623802596165	0.00458153651303409	0.0278424965898475	0.151932493037117	0.807281903709736
"100038570"	70.6239984593961	0.00139791430924471	0.0273308665293288	0.672275926057283	0.967796624967916
"100038628"	12.3213892897985	0.0016148778918203	0.0275194034265789	0.151733912256034	0.807211863632699
"100038657"	0.569496488839344	0.000248199662788935	0.027470878491046	0.394364224330557	NA
"100038725"	1078.86511542118	-0.00599411923094417	0.0272280157529823	0.405903333510521	0.922140463627901
"100038847"	3.02371185670459	-0.000619082244862013	0.0274707181840289	0.391200805736876	NA
"100038854"	2.67178834525406	-0.000108268213548363	0.0274645337228369	0.840848384630646	NA
"100038862"	16.5427437005312	7.26473588712724e-05	0.0274360948734145	0.995729940255228	0.99978873029274
"100038909"	125.360968009931	-0.000543836150935291	0.0273428081060027	0.840884096736736	0.981735904286759
"100038912"	4.12702321979714	0.00040114844184406	0.0274634480151416	0.604651837930354	NA
"100038941"	6.97084164143545	0.0015518532286551	0.027514201191121	0.140893054730382	NA
"100038947"	1348.51763719078	-0.00322451902584244	0.0274452993958832	0.429025459504858	0.926868556397364
"100038948"	0.663779481743676	0.00023086393542161	0.0274709016854111	0.337156735052569	NA
"100038949"	1.00763996455959	-0.000150548633069355	0.0274689009629997	0.586245848372178	NA
"100039008"	15.4793192474953	-0.000531214083802485	0.0274736574038913	0.275694615384641	0.877616646922878
"100039027"	152.99867129563	0.000665371972721955	0.027288689152529	0.831019299259397	0.981735904286759
"100039028"	70.0519626335651	-0.000265353401186826	0.0274579518972137	0.827744131351058	0.981735904286759
"100039030"	0.628270335752551	-0.000121692794228769	0.027468957374708	0.802954681576491	NA
"100039060"	1335.13622876324	-0.00191959435571065	0.027237368892782	0.517047731749437	0.949306333786083
"100039062"	3.63425980260054	5.62845143377173e-05	0.0274580991934755	0.937578907966992	NA
"100039065"	0.857085256726065	0.000296710510749787	0.0274712576053212	0.376783770849404	NA
"100039087"	1.49103286808954	-4.17624165183628e-05	0.0274655338933316	0.912096866307833	NA
"100039116"	1.00612440361343	9.47083163634389e-05	0.0274696209085991	0.910416693185472	NA
"100039123"	954.830648970708	-0.00514406742791503	0.0272425350842526	0.442574784411185	0.931316171803641
"100039139"	170.911201322546	0.00176559270488229	0.0273151965761173	0.613994920523468	0.963770957022386
"100039150"	3.6195337560073	0.000147171902812946	0.0274645379275476	0.801238838377233	NA
"100039192"	1180.52922105936	-0.00295489915248854	0.0271343066218849	0.71666321626482	0.971698526044154
"100039206"	2.41746261662936	-0.000553833351542583	0.0274728881697989	0.318020281775163	NA
"100039213"	0.918590289700109	0.000327770558289455	0.0274713245799464	0.308134665381092	NA
"100039239"	4593.28906628818	0.0116683779751787	0.0308210222189252	0.0176213790888399	0.485426331506319
"100039240"	6.415538907108	0.000850623626456738	0.0274705833903656	0.436999296114947	NA
"100039246"	444.106305252084	-6.94138887223553e-05	0.0271400145047041	0.952265810292299	0.992602739676718
"100039257"	885.839568521347	-0.00308705121912074	0.0274191178854366	0.428021366228758	0.926315384510141
"100039467"	16.0335293211026	0.000200312356768437	0.0274637580263772	0.753859257285952	0.973277005444347
"100039550"	6.95447147966664	-0.000170933997968192	0.0274706261548915	NA	NA
"100039596"	263.89800860104	0.00367709431694689	0.0276969942802496	0.151069126869375	0.807126177277399
"100039672"	0.495874313777683	0.00013100994584736	0.0274699885219287	0.666076204849848	NA
"100039706"	69.9335685288969	-0.0040785638936653	0.0278849585928843	0.00764145498091362	0.355411770605543
"100039707"	1031.26796368018	0.0117064310741848	0.0295940073496982	0.161694838393034	0.815706738552324
"100039781"	53.1081066039405	-0.00036519427626393	0.0273522199006679	0.897056912828346	0.986869042847697
"100039795"	178.907442062325	0.00303470189914039	0.0276421766283735	0.141107897169158	0.801141158525444
"100039796"	5535.98921208492	0.00197020806761594	0.0269507530380564	0.632902923678995	0.965040064052603
"100039801"	0.494340626024197	-0.000215218540853937	0.0274697573347825	0.528517898607071	NA
"100039890"	142.459794261908	0.00138896576783008	0.0273685088013115	0.602908682541567	0.960415589169096
"100039934"	43.159866097306	-0.000320662111963655	0.0274227812212604	0.837249346661024	0.981735904286759
"100039968"	391.445734838086	0.00540123978695751	0.0276702307064289	0.349697732968849	0.904615849695413
"100040049"	20.2415488665112	-0.00193232530759517	0.0275080387239644	0.29191365955495	0.886330055936947
"100040201"	8.3065412998186	0.000142807556454372	0.0274702265290516	NA	NA
"100040208"	0.551450894389797	0.000238009873783067	0.0274704704658298	0.533136660400258	NA
"100040214"	5.96103104345816	9.47636007136061e-05	0.0274699798933689	0.567159429390146	NA
"100040248"	6.34804099041374	7.90083404817e-05	0.0274699143859246	NA	NA
"100040276"	2.1453292379301	0.000171799144134714	0.027470145775135	0.563549400953629	NA
"100040298"	4.05267939166183	-0.000104762219690417	0.0274650421850471	0.8436722839684	NA
"100040299"	2.08600144348085	7.92033800451009e-05	0.0274699051911416	NA	NA
"100040462"	1724.87085471433	-0.00359873026507013	0.0273730915323296	0.199902750556815	0.845889272482249
"100040525"	28.8196297851461	0.00160257260156359	0.0274990154991643	0.207472693372809	0.853781897564524
"100040531"	7747.11682162806	-0.00774519751179831	0.0262480850062646	0.467872126919915	0.939533471657981
"100040563"	206.516007138946	-0.00880088279501694	0.0291501722370785	0.0673774724302931	0.697198543896253
